R,G,B,Red,Yellow,Blue,Black,White
218,232,221,0,1.05,2.1,0,100
184,192,190,0,1.05,2.1,1.05,100
186,193,192,0,1.05,2.1,1.05,100
185,193,191,0,1.05,2.1,1.05,100
186,193,192,0,1.05,2.1,1.05,100
187,195,193,0,1.05,2.1,1.05,100
169,176,177,0,1.05,2.1,2.1,100
169,176,177,0,1.05,2.1,2.1,100
169,176,177,0,1.05,2.1,2.1,100
168,175,176,0,1.05,2.1,2.1,100
170,177,178,0,1.05,2.1,2.1,100
158,165,166,0,1.05,2.1,3.15,100
159,166,168,0,1.05,2.1,3.15,100
157,164,165,0,1.05,2.1,3.15,100
158,165,167,0,1.05,2.1,3.15,100
159,166,168,0,1.05,2.1,3.15,100
213,231,221,0,1.05,3.15,0,100
214,232,222,0,1.05,3.15,0,100
213,231,221,0,1.05,3.15,0,100
214,231,221,0,1.05,3.15,0,100
214,232,222,0,1.05,3.15,0,100
185,193,192,0,1.05,3.15,1.05,100
183,192,191,0,1.05,3.15,1.05,100
183,191,190,0,1.05,3.15,1.05,100
183,192,191,0,1.05,3.15,1.05,100
186,195,194,0,1.05,3.15,1.05,100
170,178,179,0,1.05,3.15,2.1,100
168,175,176,0,1.05,3.15,2.1,100
169,176,177,0,1.05,3.15,2.1,100
170,178,179,0,1.05,3.15,2.1,100
171,178,179,0,1.05,3.15,2.1,100
211,230,223,0,1.05,4.2,0,100
213,234,226,0,1.05,4.2,0,100
209,229,222,0,1.05,4.2,0,100
208,229,221,0,1.05,4.2,0,100
209,227,221,0,1.05,4.2,0,100
186,194,194,0,1.05,4.2,1.05,100
183,192,192,0,1.05,4.2,1.05,100
184,192,192,0,1.05,4.2,1.05,100
183,193,193,0,1.05,4.2,1.05,100
186,194,195,0,1.05,4.2,1.05,100
238,241,207,0,2.1,0,0,100
238,241,208,0,2.1,0,0,100
237,240,208,0,2.1,0,0,100
237,240,207,0,2.1,0,0,100
237,240,208,0,2.1,0,0,100
191,195,188,0,2.1,0,1.05,100
189,194,187,0,2.1,0,1.05,100
191,196,189,0,2.1,0,1.05,100
189,194,186,0,2.1,0,1.05,100
188,193,185,0,2.1,0,1.05,100
175,180,175,0,2.1,0,2.1,100
174,179,175,0,2.1,0,2.1,100
176,181,177,0,2.1,0,2.1,100
174,179,175,0,2.1,0,2.1,100
174,179,175,0,2.1,0,2.1,100
166,171,170,0,2.1,0,3.15,100
163,169,171,0,2.1,0,3.15,100
164,170,168,0,2.1,0,3.15,100
165,170,167,0,2.1,0,3.15,100
163,168,167,0,2.1,0,3.15,100
156,161,161,0,2.1,0,4.2,100
155,161,160,0,2.1,0,4.2,100
156,162,162,0,2.1,0,4.2,100
155,161,160,0,2.1,0,4.2,100
156,163,162,0,2.1,0,4.2,100
226,236,211,0,2.1,1.05,0,100
227,237,211,0,2.1,1.05,0,100
226,236,211,0,2.1,1.05,0,100
225,235,210,0,2.1,1.05,0,100
227,237,212,0,2.1,1.05,0,100
184,190,184,0,2.1,1.05,1.05,100
187,193,187,0,2.1,1.05,1.05,100
188,194,188,0,2.1,1.05,1.05,100
187,193,187,0,2.1,1.05,1.05,100
187,193,187,0,2.1,1.05,1.05,100
170,176,174,0,2.1,1.05,2.1,100
170,177,174,0,2.1,1.05,2.1,100
171,177,175,0,2.1,1.05,2.1,100
171,178,175,0,2.1,1.05,2.1,100
170,177,174,0,2.1,1.05,2.1,100
159,165,164,0,2.1,1.05,3.15,100
161,167,166,0,2.1,1.05,3.15,100
159,166,165,0,2.1,1.05,3.15,100
160,167,166,0,2.1,1.05,3.15,100
159,166,165,0,2.1,1.05,3.15,100
223,236,213,0,2.1,2.1,0,100
220,233,207,0,2.1,2.1,0,100
221,234,208,0,2.1,2.1,0,100
220,233,208,0,2.1,2.1,0,100
