R,G,B,Red,Yellow,Blue,Black,White
222,203,216,2.1,0,3.15,0,100
185,180,188,2.1,0,3.15,1.05,100
185,180,188,2.1,0,3.15,1.05,100
187,181,189,2.1,0,3.15,1.05,100
184,180,188,2.1,0,3.15,1.05,100
187,182,189,2.1,0,3.15,1.05,100
247,209,205,2.1,1.05,0,0,100
247,207,205,2.1,1.05,0,0,100
247,211,207,2.1,1.05,0,0,100
245,211,208,2.1,1.05,0,0,100
243,208,205,2.1,1.05,0,0,100
194,186,186,2.1,1.05,0,1.05,100
194,186,186,2.1,1.05,0,1.05,100
102,184,185,2.1,1.05,0,1.05,100
194,187,187,2.1,1.05,0,1.05,100
196,187,188,2.1,1.05,0,1.05,100
175,173,174,2.1,1.05,0,2.1,100
175,172,173,2.1,1.05,0,2.1,100
177,173,175,2.1,1.05,0,2.1,100
177,174,175,2.1,1.05,0,2.1,100
177,174,175,2.1,1.05,0,2.1,100
163,161,164,2.1,1.05,0,3.15,100
162,162,164,2.1,1.05,0,3.15,100
163,162,165,2.1,1.05,0,3.15,100
162,161,164,2.1,1.05,0,3.15,100
163,162,164,2.1,1.05,0,3.15,100
236,206,204,2.1,1.05,1.05,0,100
236,207,206,2.1,1.05,1.05,0,100
234,205,204,2.1,1.05,1.05,0,100
236,205,205,2.1,1.05,1.05,0,100
236,207,206,2.1,1.05,1.05,0,100
195,187,188,2.1,1.05,1.05,1.05,100
196,187,189,2.1,1.05,1.05,1.05,100
197,188,189,2.1,1.05,1.05,1.05,100
196,187,188,2.1,1.05,1.05,1.05,100
193,185,186,2.1,1.05,1.05,1.05,100
178,175,177,2.1,1.05,1.05,2.1,100
177,175,177,2.1,1.05,1.05,2.1,100
178,175,177,2.1,1.05,1.05,2.1,100
179,176,178,2.1,1.05,1.05,2.1,100
180,176,178,2.1,1.05,1.05,2.1,100
225,203,203,2.1,1.05,2.1,0,100
228,204,205,2.1,1.05,2.1,0,100
228,205,206,2.1,1.05,2.1,0,100
228,205,206,2.1,1.05,2.1,0,100
227,203,204,2.1,1.05,2.1,0,100
192,186,188,2.1,1.05,2.1,1.05,100
193,187,189,2.1,1.05,2.1,1.05,100
194,187,188,2.1,1.05,2.1,1.05,100
193,186,189,2.1,1.05,2.1,1.05,100
192,186,188,2.1,1.05,2.1,1.05,100
247,209,199,2.1,2.1,0,0,100
249,209,199,2.1,2.1,0,0,100
247,209,199,2.1,2.1,0,0,100
249,209,199,2.1,2.1,0,0,100
248,209,199,2.1,2.1,0,0,100
196,187,183,2.1,2.1,0,1.05,100
193,184,181,2.1,2.1,0,1.05,100
194,185,181,2.1,2.1,0,1.05,100
194,185,183,2.1,2.1,0,1.05,100
196,186,183,2.1,2.1,0,1.05,100
175,172,171,2.1,2.1,0,2.1,100
175,172,171,2.1,2.1,0,2.1,100
177,173,173,2.1,2.1,0,2.1,100
176,172,171,2.1,2.1,0,2.1,100
174,170,170,2.1,2.1,0,2.1,100
237,207,198,2.1,2.1,1.05,0,100
234,204,196,2.1,2.1,1.05,0,100
233,203,194,2.1,2.1,1.05,0,100
236,206,198,2.1,2.1,1.05,0,100
236,207,199,2.1,2.1,1.05,0,100
189,182,179,2.1,2.1,1.05,1.05,100
188,180,178,2.1,2.1,1.05,1.05,100
191,184,181,2.1,2.1,1.05,1.05,100
188,180,178,2.1,2.1,1.05,1.05,100
190,183,180,2.1,2.1,1.05,1.05,100
249,209,193,2.1,3.15,0,0,100
248,210,194,2.1,3.15,0,0,100
247,207,193,2.1,3.15,0,0,100
249,211,196,2.1,3.15,0,0,100
247,210,195,2.1,3.15,0,0,100
197,188,180,2.1,3.15,0,1.05,100
196,186,179,2.1,3.15,0,1.05,100
198,188,181,2.1,3.15,0,1.05,100
199,188,180,2.1,3.15,0,1.05,100
196,187,179,2.1,3.15,0,1.05,100
245,199,208,3.15,0,0,0,100
246,200,209,3.15,0,0,0,100
247,201,210,3.15,0,0,0,100
244,199,208,3.15,0,0,0,100
244,199,208,3.15,0,0,0,100
206,189,197,3.15,0,0,1.05,100
205,188,195,3.15,0,0,1.05,100
206,188,196,3.15,0,0,1.05,100
204,186,194,3.15,0,0,1.05,100
204,187,195,3.15,0,0,1.05,100
180,172,179,3.15,0,0,2.1,100
182,173,180,3.15,0,0,2.1,100
180,172,179,3.15,0,0,2.1,100
182,174,180,3.15,0,0,2.1,100
180,172,178,3.15,0,0,2.1,100
166,161,167,3.15,0,0,3.15,100
166,162,168,3.15,0,0,3.15,100
167,162,168,3.15,0,0,3.15,100
167,162,167,3.15,0,0,3.15,100
168,162,168,3.15,0,0,3.15,100
235,197,208,3.15,0,1.05,0,100
235,199,210,3.15,0,1.05,0,100
233,196,207,3.15,0,1.05,0,100
236,198,210,3.15,0,1.05,0,100
236,196,209,3.15,0,1.05,0,100
194,181,189,3.15,0,1.05,1.05,100
194,179,187,3.15,0,1.05,1.05,100
193,180,188,3.15,0,1.05,1.05,100
193,179,186,3.15,0,1.05,1.05,100
197,182,180,3.15,0,1.05,1.05,100
179,171,178,3.15,0,1.05,2.1,100
179,171,178,3.15,0,1.05,2.1,100
180,172,179,3.15,0,1.05,2.1,100
177,170,177,3.15,0,1.05,2.1,100
177,170,177,3.15,0,1.05,2.1,100
227,195,208,3.15,0,2.1,0,100
226,195,208,3.15,0,2.1,0,100
226,195,208,3.15,0,2.1,0,100
224,193,205,3.15,0,2.1,0,100
228,196,209,3.15,0,2.1,0,100
188,177,185,3.15,0,2.1,1.05,100
188,177,185,3.15,0,2.1,1.05,100
189,178,186,3.15,0,2.1,1.05,100
189,178,186,3.15,0,2.1,1.05,100
188,177,186,3.15,0,2.1,1.05,100
244,198,198,3.15,1.05,0,0,100
243,196,196,3.15,1.05,0,0,100
247,198,199,3.15,1.05,0,0,100
246,197,198,3.15,1.05,0,0,100
247,197,197,3.15,1.05,0,0,100
199,183,185,3.15,1.05,0,1.05,100
200,184,186,3.15,1.05,0,1.05,100
199,183,185,3.15,1.05,0,1.05,100
199,183,185,3.15,1.05,0,1.05,100
200,184,186,3.15,1.05,0,1.05,100
179,171,174,3.15,1.05,0,2.1,100
179,171,174,3.15,1.05,0,2.1,100
179,171,174,3.15,1.05,0,2.1,100
181,172,175,3.15,1.05,0,2.1,100
180,172,175,3.15,1.05,0,2.1,100
237,197,201,3.15,1.05,1.05,0,100
238,198,202,3.15,1.05,1.05,0,100
238,200,204,3.15,1.05,1.05,0,100
239,199,204,3.15,1.05,1.05,0,100
235,199,203,3.15,1.05,1.05,0,100
201,184,188,3.15,1.05,1.05,1.05,100
199,184,188,3.15,1.05,1.05,1.05,100
200,184,187,3.15,1.05,1.05,1.05,100
200,184,188,3.15,1.05,1.05,1.05,100
197,181,184,3.15,1.05,1.05,1.05,100
251,200,194,3.15,2.1,0,0,100
250,201,196,3.15,2.1,0,0,100
250,200,195,3.15,2.1,0,0,100
250,202,197,3.15,2.1,0,0,100
250,201,195,3.15,2.1,0,0,100
197,183,183,3.15,2.1,0,1.05,100
198,183,183,3.15,2.1,0,1.05,100
200,184,184,3.15,2.1,0,1.05,100
197,182,181,3.15,2.1,0,1.05,100
198,182,181,3.15,2.1,0,1.05,100
247,193,204,4.2,0,0,0,100
247,193,203,4.2,0,0,0,100
245,193,203,4.2,0,0,0,100
248,194,204,4.2,0,0,0,100
247,194,204,4.2,0,0,0,100
199,180,188,4.2,0,0,1.05,100
201,181,189,4.2,0,0,1.05,100
199,180,188,4.2,0,0,1.05,100
196,177,186,4.2,0,0,1.05,100
196,177,186,4.2,0,0,1.05,100
180,168,175,4.2,0,0,2.1,100
181,168,175,4.2,0,0,2.1,100
180,167,174,4.2,0,0,2.1,100
179,167,175,4.2,0,0,2.1,100
181,169,176,4.2,0,0,2.1,100
239,194,206,4.2,0,1.05,0,100
238,193,205,4.2,0,1.05,0,100
239,194,206,4.2,0,1.05,0,100
240,194,207,4.2,0,1.05,0,100
240,195,207,4.2,0,1.05,0,100
194,177,186,4.2,0,1.05,1.05,100
193,177,186,4.2,0,1.05,1.05,100
194,178,187,4.2,0,1.05,1.05,100
193,177,186,4.2,0,1.05,1.05,100
192,177,185,4.2,0,1.05,1.05,100
246,189,192,4.2,1.05,0,0,100
246,191,193,4.2,1.05,0,0,100
246,192,194,4.2,1.05,0,0,100
247,192,195,4.2,1.05,0,0,100
246,191,193,4.2,1.05,0,0,100
190,173,177,4.2,1.05,0,1.05,100
189,172,176,4.2,1.05,0,1.05,100
190,173,176,4.2,1.05,0,1.05,100
191,174,178,4.2,1.05,0,1.05,100
192,174,178,4.2,1.05,0,1.05,100
247,185,196,5.25,0,0,0,100
246,186,198,5.25,0,0,0,100
247,186,198,5.25,0,0,0,100
248,186,198,5.25,0,0,0,100
249,187,199,5.25,0,0,0,100
193,171,180,5.25,0,0,1.05,100
194,172,181,5.25,0,0,1.05,100
195,172,181,5.25,0,0,1.05,100
195,172,181,5.25,0,0,1.05,100
195,172,182,5.25,0,0,1.05,100
243,179,191,6.3,0,0,0,100
245,179,191,6.3,0,0,0,100
243,178,190,6.3,0,0,0,100
245,179,191,6.3,0,0,0,100
245,179,191,6.3,0,0,0,100
245,183,188,6.3,1.05,0,0,100
247,183,188,6.3,1.05,0,0,100
247,183,188,6.3,1.05,0,0,100
243,183,188,6.3,1.05,0,0,100
246,182,187,6.3,1.05,0,0,100
249,183,183,6.3,2.1,0,0,100
249,182,182,6.3,2.1,0,0,100
250,184,184,6.3,2.1,0,0,100
249,184,184,6.3,2.1,0,0,100
247,182,182,6.3,2.1,0,0,100
196,170,172,6.3,3.15,0,0,100
197,170,173,6.3,3.15,0,0,100
197,171,175,6.3,3.15,0,0,100
197,170,173,6.3,3.15,0,0,100
198,171,174,6.3,3.15,0,0,100
176,160,163,6.3,3.15,0,1.05,100
178,162,166,6.3,3.15,0,1.05,100
176,160,164,6.3,3.15,0,1.05,100
176,160,163,6.3,3.15,0,1.05,100
175,159,162,6.3,3.15,0,1.05,100
122,198,238,0,0,1.26,0,20
123,198,236,0,0,1.26,0,20
124,198,237,0,0,1.26,0,20
124,200,239,0,0,1.26,0,20
123,198,237,0,0,1.26,0,20
140,190,224,0.21,0,1.26,0,20
139,190,224,0.21,0,1.26,0,20
138,189,222,0.21,0,1.26,0,20
140,190,225,0.21,0,1.26,0,20
138,188,221,0.21,0,1.26,0,20
143,182,214,0.42,0,1.26,0,20
143,183,215,0.42,0,1.26,0,20
143,182,215,0.42,0,1.26,0,20
144,183,216,0.42,0,1.26,0,20
142,180,212,0.42,0,1.26,0,20
147,176,207,0.63,0,1.26,0,20
148,176,207,0.63,0,1.26,0,20
147,176,207,0.63,0,1.26,0,20
146,175,206,0.63,0,1.26,0,20
147,175,206,0.63,0,1.26,0,20
149,169,199,0.84,0,1.26,0,20
149,170,200,0.84,0,1.26,0,20
149,171,201,0.84,0,1.26,0,20
150,172,203,0.84,0,1.26,0,20
150,171,202,0.84,0,1.26,0,20
141,206,221,0,0.21,1.05,0,20
142,206,221,0,0.21,1.05,0,20
140,205,221,0,0.21,1.05,0,20
141,205,220,0,0.21,1.05,0,20
141,205,220,0,0.21,1.05,0,20
142,205,209,0,0.42,1.05,0,20
142,205,209,0,0.42,1.05,0,20
143,206,209,0,0.42,1.05,0,20
144,205,208,0,0.42,1.05,0,20
142,205,208,0,0.42,1.05,0,20
141,203,200,0,0.63,1.05,0,20
142,205,202,0,0.63,1.05,0,20
142,205,202,0,0.63,1.05,0,20
143,204,200,0,0.63,1.05,0,20
143,205,202,0,0.63,1.05,0,20
142,204,195,0,0.84,1.05,0,20
142,203,193,0,0.84,1.05,0,20
143,206,197,0,0.84,1.05,0,20
143,205,196,0,0.84,1.05,0,20
142,205,195,0,0.84,1.05,0,20
143,204,190,0,1.05,1.05,0,20
142,204,190,0,1.05,1.05,0,20
145,207,198,0,1.05,1.05,0,20
143,204,190,0,1.05,1.05,0,20
144,205,191,0,1.05,1.05,0,20
156,212,216,0,0.42,0.84,0,20
155,212,216,0,0.42,0.84,0,20
153,209,214,0,0.42,0.84,0,20
152,209,213,0,0.42,0.84,0,20
154,210,214,0,0.42,0.84,0,20
164,187,199,0.42,0.42,0.84,0,20
164,187,200,0.42,0.42,0.84,0,20
164,187,199,0.42,0.42,0.84,0,20
165,188,201,0.42,0.42,0.84,0,20
163,187,200,0.42,0.42,0.84,0,20
169,185,199,0.63,0.42,0.84,0,20
169,185,199,0.63,0.42,0.84,0,20
166,181,195,0.63,0.42,0.84,0,20
170,186,200,0.63,0.42,0.84,0,20
167,183,197,0.63,0.42,0.84,0,20
175,178,194,1.05,0.42,0.84,0,20
174,177,193,1.05,0.42,0.84,0,20
174,177,193,1.05,0.42,0.84,0,20
174,176,193,1.05,0.42,0.84,0,20
174,176,193,1.05,0.42,0.84,0,20
162,173,192,1.05,0.42,1.05,0.21,20
161,172,190,1.05,0.42,1.05,0.21,20
161,172,191,1.05,0.42,1.05,0.21,20
161,172,191,1.05,0.42,1.05,0.21,20
160,171,190,1.05,0.42,1.05,0.21,20
164,218,206,0,0.63,0.63,0,20
164,218,208,0,0.63,0.63,0,20
164,218,208,0,0.63,0.63,0,20
164,218,207,0,0.63,0.63,0,20
164,218,207,0,0.63,0.63,0,20
164,206,200,0,0.63,0.63,0.21,20
166,208,202,0,0.63,0.63,0.21,20
166,208,202,0,0.63,0.63,0.21,20
165,207,201,0,0.63,0.63,0.21,20
166,208,202,0,0.63,0.63,0.21,20
153,202,202,0,0.63,0.84,0.21,20
154,203,202,0,0.63,0.84,0.21,20
151,202,202,0,0.63,0.84,0.21,20
154,203,203,0,0.63,0.84,0.21,20
152,201,201,0,0.63,0.84,0.21,20
153,196,192,0,0.84,0.84,0.42,20
154,197,194,0,0.84,0.84,0.42,20
154,197,194,0,0.84,0.84,0.42,20
153,197,193,0,0.84,0.84,0.42,20
154,197,194,0,0.84,0.84,0.42,20
174,223,205,0,0.84,0.42,0,20
171,220,202,0,0.84,0.42,0,20
174,223,205,0,0.84,0.42,0,20
174,224,206,0,0.84,0.42,0,20
174,223,205,0,0.84,0.42,0,20
175,214,202,0,0.84,0.42,0.21,20
173,212,199,0,0.84,0.42,0.21,20
172,213,199,0,0.84,0.42,0.21,20
172,211,199,0,0.84,0.42,0.21,20
174,214,201,0,0.84,0.42,0.21,20
154,172,169,0,0.84,0.42,0.42,20
155,173,171,0,0.84,0.42,0.42,20
155,172,169,0,0.84,0.42,0.42,20
154,172,170,0,0.84,0.42,0.42,20
154,172,169,0,0.84,0.42,0.42,20
154,172,167,0,1.05,0.42,0.42,10
155,172,168,0,1.05,0.42,0.42,10
155,173,169,0,1.05,0.42,0.42,10
157,174,169,0,1.05,0.42,0.42,10
154,171,167,0,1.05,0.42,0.42,10
146,162,160,0,1.05,0.63,0.63,20
147,162,160,0,1.05,0.63,0.63,20
147,162,160,0,1.05,0.63,0.63,20
147,162,160,0,1.05,0.63,0.63,20
146,162,160,0,1.05,0.63,0.63,20
195,230,195,0,1.05,0.21,0,20
198,233,198,0,1.05,0.21,0,20
194,229,194,0,1.05,0.21,0,20
195,231,196,0,1.05,0.21,0,20
197,231,196,0,1.05,0.21,0,20
195,232,200,0,1.05,0.42,0,20
192,229,197,0,1.05,0.42,0,20
193,228,197,0,1.05,0.42,0,20
191,228,196,0,1.05,0.42,0,20
194,229,197,0,1.05,0.42,0,20
202,210,192,0.21,1.05,0.42,0,20
200,209,191,0.21,1.05,0.42,0,20
202,211,193,0.21,1.05,0.42,0,20
203,212,194,0.21,1.05,0.42,0,20
201,210,192,0.21,1.05,0.42,0,20
199,198,187,0.42,1.05,0.63,0.21,20
201,199,189,0.42,1.05,0.63,0.21,20
202,200,190,0.42,1.05,0.63,0.21,20
201,199,189,0.42,1.05,0.63,0.21,20
200,199,189,0.42,1.05,0.63,0.21,20
204,193,186,0.63,1.05,0.63,0.21,20
204,193,187,0.63,1.05,0.63,0.21,20
203,192,185,0.63,1.05,0.63,0.21,20
205,195,188,0.63,1.05,0.63,0.21,20
205,194,187,0.63,1.05,0.63,0.21,20
249,250,194,0,1.26,0,0,20
251,251,194,0,1.26,0,0,20
250,250,193,0,1.26,0,0,20
250,250,193,0,1.26,0,0,20
252,252,195,0,1.26,0,0,20
254,221,188,0.21,1.26,0,0,20
255,226,193,0.21,1.26,0,0,20
253,221,188,0.21,1.26,0,0,20
253,222,189,0.21,1.26,0,0,20
252,222,189,0.21,1.26,0,0,20
255,211,186,0.42,1.26,0,0,20
255,212,188,0.42,1.26,0,0,20
252,210,185,0.42,1.26,0,0,20
255,211,187,0.42,1.26,0,0,20
255,211,187,0.42,1.26,0,0,20
203,185,174,0.63,1.26,0,0.21,20
204,185,175,0.63,1.26,0,0.21,20
204,185,174,0.63,1.26,0,0.21,20
202,184,173,0.63,1.26,0,0.21,20
203,184,174,0.63,1.26,0,0.21,20
181,168,163,0.84,1.26,0,0.42,20
182,168,164,0.84,1.26,0,0.42,20
182,168,164,0.84,1.26,0,0.42,20
181,167,162,0.84,1.26,0,0.42,20
182,168,164,0.84,1.26,0,0.42,20
213,211,228,0.21,0,1.05,0,20
215,213,231,0.21,0,1.05,0,20
214,212,229,0.21,0,1.05,0,20
212,211,228,0.21,0,1.05,0,20
211,209,227,0.21,0,1.05,0,20
218,204,221,0.42,0,1.05,0,20
219,205,222,0.42,0,1.05,0,20
218,204,221,0.42,0,1.05,0,20
220,206,223,0.42,0,1.05,0,20
219,205,221,0.42,0,1.05,0,20
194,184,196,0.63,0,1.05,0.21,20
192,183,194,0.63,0,1.05,0.21,20
191,182,193,0.63,0,1.05,0.21,20
193,184,196,0.63,0,1.05,0.21,20
193,184,195,0.63,0,1.05,0.21,20
174,169,178,0.63,0,1.05,0.42,20
174,170,180,0.63,0,1.05,0.42,20
174,169,179,0.63,0,1.05,0.42,20
175,170,180,0.63,0,1.05,0.42,20
173,169,178,0.63,0,1.05,0.42,20
175,166,176,0.84,0,1.05,0.42,20
176,167,178,0.84,0,1.05,0.42,20
177,168,179,0.84,0,1.05,0.42,20
176,167,178,0.84,0,1.05,0.42,20
177,168,179,0.84,0,1.05,0.42,20
221,220,218,0.21,0.21,0.84,0,20
220,219,217,0.21,0.21,0.84,0,20
219,219,216,0.21,0.21,0.84,0,20
220,219,216,0.21,0.21,0.84,0,20
220,219,217,0.21,0.21,0.84,0,20
221,222,209,0.21,0.42,0.84,0,20
220,221,208,0.21,0.42,0.84,0,20
221,221,208,0.21,0.42,0.84,0,20
220,220,207,0.21,0.42,0.84,0,20
218,219,206,0.21,0.42,0.84,0,20
222,207,197,0.42,0.63,0.84,0,20
224,209,198,0.42,0.63,0.84,0,20
223,209,199,0.42,0.63,0.84,0,20
224,209,199,0.42,0.63,0.84,0,20
223,208,197,0.42,0.63,0.84,0,20
224,200,195,0.63,0.63,0.84,0,20
223,200,195,0.63,0.63,0.84,0,20
224,200,194,0.63,0.63,0.84,0,20
226,202,197,0.63,0.63,0.84,0,20
225,201,195,0.63,0.63,0.84,0,20
174,169,169,0.63,0.63,0.84,0.42,20
173,169,169,0.63,0.63,0.84,0.42,20
175,170,170,0.63,0.63,0.84,0.42,20
177,171,170,0.63,0.63,0.84,0.42,20
176,170,170,0.63,0.63,0.84,0.42,20
227,219,210,0.21,0.42,0.63,0,20
228,220,212,0.21,0.42,0.63,0,20
227,219,210,0.21,0.42,0.63,0,20
225,217,208,0.21,0.42,0.63,0,20
226,218,210,0.21,0.42,0.63,0,20
227,220,204,0.21,0.63,0.63,0,20
226,219,204,0.21,0.63,0.63,0,20
227,220,205,0.21,0.63,0.63,0,20
225,218,203,0.21,0.63,0.63,0,20
225,218,202,0.21,0.63,0.63,0,20
185,187,183,0.21,0.63,0.63,0.21,20
184,186,180,0.21,0.63,0.63,0.21,20
183,186,181,0.21,0.63,0.63,0.21,20
186,188,183,0.21,0.63,0.63,0.21,20
183,185,180,0.21,0.63,0.63,0.21,20
233,218,203,0.21,0.63,0.42,0,20
236,220,206,0.21,0.63,0.42,0,20
233,218,204,0.21,0.63,0.42,0,20
233,219,204,0.21,0.63,0.42,0,20
231,216,201,0.21,0.63,0.42,0,20
193,184,183,0.42,0.63,0.42,0.21,20
192,183,181,0.42,0.63,0.42,0.21,20
194,185,183,0.42,0.63,0.42,0.21,20
192,183,181,0.42,0.63,0.42,0.21,20
194,185,183,0.42,0.63,0.42,0.21,20
175,171,171,0.42,0.63,0.63,0.42,20
175,172,172,0.42,0.63,0.63,0.42,20
176,172,172,0.42,0.63,0.63,0.42,20
177,174,174,0.42,0.63,0.63,0.42,20
177,174,174,0.42,0.63,0.63,0.42,20
241,221,198,0.21,0.84,0.21,0,20
241,221,199,0.21,0.84,0.21,0,20
239,220,197,0.21,0.84,0.21,0,20
240,220,197,0.21,0.84,0.21,0,20
240,220,198,0.21,0.84,0.21,0,20
198,194,183,0.21,0.84,0.21,0.21,20
198,194,183,0.21,0.84,0.21,0.21,20
199,196,184,0.21,0.84,0.21,0.21,20
199,195,184,0.21,0.84,0.21,0.21,20
198,194,183,0.21,0.84,0.21,0.21,20
181,176,172,0.42,0.84,0.21,0.42,20
182,177,173,0.42,0.84,0.21,0.42,20
180,175,171,0.42,0.84,0.21,0.42,20
182,177,173,0.42,0.84,0.21,0.42,20
181,176,172,0.42,0.84,0.21,0.42,20
255,221,191,0.21,1.05,0,0,20
255,220,190,0.21,1.05,0,0,20
254,220,190,0.21,1.05,0,0,20
255,220,189,0.21,1.05,0,0,20
254,220,189,0.21,1.05,0,0,20
203,187,177,0.42,1.05,0,0.21,20
205,189,178,0.42,1.05,0,0.21,20
204,188,177,0.42,1.05,0,0.21,20
203,187,177,0.42,1.05,0,0.21,20
204,188,178,0.42,1.05,0,0.21,20
206,183,172,0.63,1.26,0,0.21,20
204,181,170,0.63,1.26,0,0.21,20
205,182,171,0.63,1.26,0,0.21,20
205,182,171,0.63,1.26,0,0.21,20
206,183,172,0.63,1.26,0,0.21,20
223,206,221,0.42,0,0.84,0,20
221,204,219,0.42,0,0.84,0,20
224,207,222,0.42,0,0.84,0,20
224,206,221,0.42,0,0.84,0,20
224,206,221,0.42,0,0.84,0,20
221,200,217,0.63,0,1.05,0,20
219,198,214,0.63,0,1.05,0,20
220,197,214,0.63,0,1.05,0,20
222,200,217,0.63,0,1.05,0,20
221,198,215,0.63,0,1.05,0,20
182,177,188,0.63,0,1.26,0.21,20
183,178,189,0.63,0,1.26,0.21,20
184,178,189,0.63,0,1.26,0.21,20
184,178,189,0.63,0,1.26,0.21,20
184,179,190,0.63,0,1.26,0.21,20
227,202,207,0.42,0.21,0.63,0,20
228,203,208,0.42,0.21,0.63,0,20
229,204,209,0.42,0.21,0.63,0,20
226,202,206,0.42,0.21,0.63,0,20
228,202,206,0.42,0.21,0.63,0,20
227,203,198,0.42,0.42,0.63,0,20
255,201,197,0.42,0.42,0.63,0,20
227,203,198,0.42,0.42,0.63,0,20
230,206,201,0.42,0.42,0.63,0,20
224,201,196,0.42,0.42,0.63,0,20
187,176,178,0.63,0.42,0.63,0.21,20
188,177,179,0.63,0.42,0.63,0.21,20
187,176,179,0.63,0.42,0.63,0.21,20
188,176,179,0.63,0.42,0.63,0.21,20
185,173,176,0.63,0.42,0.63,0.21,20
230,209,204,0.42,0.42,0.42,0,20
233,211,206,0.42,0.42,0.42,0,20
232,210,205,0.42,0.42,0.42,0,20
230,208,203,0.42,0.42,0.42,0,20
233,211,205,0.42,0.42,0.42,0,20
184,181,181,0.42,0.42,0.42,0.21,20
185,181,182,0.42,0.42,0.42,0.21,20
185,182,182,0.42,0.42,0.42,0.21,20
184,180,180,0.42,0.42,0.42,0.21,20
185,181,181,0.42,0.42,0.42,0.21,20
170,169,171,0.42,0.42,0.42,0.42,20
168,168,169,0.42,0.42,0.42,0.42,20
171,170,172,0.42,0.42,0.42,0.42,20
171,170,172,0.42,0.42,0.42,0.42,20
171,171,172,0.42,0.42,0.42,0.42,20
244,208,200,0.42,0.63,0.21,0,20
243,208,199,0.42,0.63,0.21,0,20
243,208,199,0.42,0.63,0.21,0,20
241,206,197,0.42,0.63,0.21,0,20
242,207,198,0.42,0.63,0.21,0,20
234,198,195,0.63,0.63,0.42,0,20
236,200,197,0.63,0.63,0.42,0,20
234,198,195,0.63,0.63,0.42,0,20
236,199,197,0.63,0.63,0.42,0,20
234,198,195,0.63,0.63,0.42,0,20
191,179,180,0.63,0.63,0.42,0.21,20
191,178,178,0.63,0.63,0.42,0.21,20
190,178,178,0.63,0.63,0.42,0.21,20
191,179,180,0.63,0.63,0.42,0.21,20
192,179,179,0.63,0.63,0.42,0.21,20
246,206,189,0.42,0.84,0,0,20
248,207,191,0.42,0.84,0,0,20
248,207,190,0.42,0.84,0,0,20
247,206,189,0.42,0.84,0,0,20
246,205,189,0.42,0.84,0,0,20
220,205,196,0.42,0.84,0.21,0,20
220,205,196,0.42,0.84,0.21,0,20
218,204,195,0.42,0.84,0.21,0,20
219,205,196,0.42,0.84,0.21,0,20
217,203,194,0.42,0.84,0.21,0,20
191,187,182,0.42,0.84,0.21,0.21,20
190,185,181,0.42,0.84,0.21,0.21,20
189,184,180,0.42,0.84,0.21,0.21,20
189,185,181,0.42,0.84,0.21,0.21,20
189,185,180,0.42,0.84,0.21,0.21,20
169,163,163,0.63,0.63,0,0.63,20
169,163,163,0.63,0.63,0,0.63,20
171,165,165,0.63,0.63,0,0.63,20
169,164,164,0.63,0.63,0,0.63,20
166,161,160,0.63,0.63,0,0.63,20
166,163,165,0.63,0.63,0.21,0.63,20
166,163,165,0.63,0.63,0.21,0.63,20
165,163,165,0.63,0.63,0.21,0.63,20
165,163,165,0.63,0.63,0.21,0.63,20
169,166,168,0.63,0.63,0.21,0.63,20
162,160,164,0.84,0.63,0.42,0.63,20
163,160,165,0.84,0.63,0.42,0.63,20
163,160,165,0.84,0.63,0.42,0.63,20
161,159,164,0.84,0.63,0.42,0.63,20
163,160,165,0.84,0.63,0.42,0.63,20
188,193,217,0.63,0,0.63,0,20
189,194,218,0.63,0,0.63,0,20
186,191,214,0.63,0,0.63,0,20
186,191,215,0.63,0,0.63,0,20
186,190,214,0.63,0,0.63,0,20
169,174,189,0.63,0,0.63,0.21,20
168,174,188,0.63,0,0.63,0.21,20
169,174,189,0.63,0,0.63,0.21,20
168,174,188,0.63,0,0.63,0.21,20
171,177,191,0.63,0,0.63,0.21,20
160,166,178,0.63,0,0.63,0.42,20
160,166,178,0.63,0,0.63,0.42,20
159,164,176,0.63,0,0.63,0.42,20
161,167,179,0.63,0,0.63,0.42,20
159,166,178,0.63,0,0.63,0.42,20
255,202,199,0.63,0.42,0,0,20
255,203,201,0.63,0.42,0,0,20
253,203,200,0.63,0.42,0,0,20
253,202,199,0.63,0.42,0,0,20
255,204,201,0.63,0.42,0,0,20
191,178,180,0.63,0.42,0,0.42,20
191,178,180,0.63,0.42,0,0.42,20
192,179,181,0.63,0.42,0,0.42,20
189,176,177,0.63,0.42,0,0.42,20
193,180,182,0.63,0.42,0,0.42,20
173,166,169,0.63,0.42,0,0.63,20
174,168,170,0.63,0.42,0,0.63,20
173,166,169,0.63,0.42,0,0.63,20
173,166,169,0.63,0.42,0,0.63,20
171,165,167,0.63,0.42,0,0.63,20
208,202,207,0.63,0.42,0.42,0,20
206,200,204,0.63,0.42,0.42,0,20
206,200,205,0.63,0.42,0.42,0,20
205,199,204,0.63,0.42,0.42,0,20
205,198,203,0.63,0.42,0.42,0,20
162,164,169,0.63,0.42,0.42,0.63,20
163,165,170,0.63,0.42,0.42,0.63,20
164,165,169,0.63,0.42,0.42,0.63,20
162,164,169,0.63,0.42,0.42,0.63,20
164,165,170,0.63,0.42,0.42,0.63,20
134,137,141,0.84,0.63,0.42,1.05,20
134,137,141,0.84,0.63,0.42,1.05,20
133,136,140,0.84,0.63,0.42,1.05,20
